epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,381.905,1.04704,1.16002,1.3092,0.84776,0.64718,0.78716,0.56484,1.13582,0.94128,1.35122,7.03336e-05,7.03336e-05,7.03336e-05
91,385.864,1.0133,1.14596,1.29635,0.79054,0.67313,0.78087,0.56168,1.13405,0.95216,1.37075,7.00003e-05,7.00003e-05,7.00003e-05
92,389.843,1.02939,1.13376,1.30533,0.85793,0.61814,0.79707,0.55719,1.18151,0.96646,1.38739,6.9667e-05,6.9667e-05,6.9667e-05
93,393.789,1.00863,1.14649,1.28596,0.82143,0.64639,0.78411,0.55361,1.15792,0.9564,1.36565,6.93336e-05,6.93336e-05,6.93336e-05
94,397.823,1.01181,1.14001,1.29797,0.77979,0.66883,0.78163,0.54707,1.18792,0.99388,1.39533,6.90003e-05,6.90003e-05,6.90003e-05
95,401.855,1.03201,1.14192,1.299,0.76498,0.65834,0.74142,0.46505,1.40263,1.09585,1.65429,6.8667e-05,6.8667e-05,6.8667e-05
96,405.952,1.01149,1.10892,1.28605,0.78351,0.67675,0.78237,0.57295,1.08042,0.93272,1.30499,6.83337e-05,6.83337e-05,6.83337e-05
97,409.946,1.00486,1.11867,1.28538,0.83288,0.65409,0.79719,0.57324,1.09788,0.94124,1.32435,6.80003e-05,6.80003e-05,6.80003e-05
98,413.935,0.98187,1.09556,1.27838,0.796,0.66613,0.77558,0.54051,1.17059,0.98439,1.38641,6.7667e-05,6.7667e-05,6.7667e-05
99,417.932,1.00454,1.09802,1.28423,0.81712,0.68583,0.79263,0.55467,1.18471,0.97537,1.34997,6.73337e-05,6.73337e-05,6.73337e-05
100,421.935,0.96688,1.09346,1.26895,0.85025,0.65872,0.78717,0.56845,1.08979,0.96613,1.32318,6.70003e-05,6.70003e-05,6.70003e-05
101,425.979,0.9912,1.10441,1.27926,0.70325,0.71442,0.7818,0.56671,1.1052,0.95697,1.34407,6.6667e-05,6.6667e-05,6.6667e-05
102,430.044,0.96364,1.0982,1.26813,0.84407,0.61,0.76602,0.54965,1.13553,0.9979,1.3869,6.63337e-05,6.63337e-05,6.63337e-05
103,434.06,0.99892,1.12788,1.26659,0.83026,0.63715,0.78538,0.56988,1.09083,0.95134,1.34249,6.60003e-05,6.60003e-05,6.60003e-05
104,438.2,0.97573,1.07287,1.26683,0.85924,0.59187,0.75299,0.55077,1.11425,1.01765,1.35688,6.5667e-05,6.5667e-05,6.5667e-05
105,442.212,0.99785,1.08334,1.26707,0.88718,0.61078,0.7888,0.56871,1.10053,0.9913,1.29448,6.53337e-05,6.53337e-05,6.53337e-05
106,446.209,0.9898,1.07182,1.26377,0.8061,0.68091,0.79684,0.55544,1.18599,0.96435,1.375,6.50004e-05,6.50004e-05,6.50004e-05
107,450.23,0.97944,1.05986,1.25724,0.80749,0.66932,0.78257,0.57322,1.05769,0.9876,1.27831,6.4667e-05,6.4667e-05,6.4667e-05
108,454.268,0.976,1.07995,1.26861,0.81923,0.65322,0.77908,0.56931,1.08744,0.93209,1.31959,6.43337e-05,6.43337e-05,6.43337e-05
109,458.293,0.98545,1.07688,1.28048,0.84252,0.64912,0.79638,0.56593,1.10845,0.94825,1.3211,6.40004e-05,6.40004e-05,6.40004e-05
110,462.347,0.96027,1.01315,1.26671,0.78654,0.6777,0.78994,0.57509,1.06557,0.9447,1.30516,6.3667e-05,6.3667e-05,6.3667e-05
111,466.466,0.95873,1.05557,1.25657,0.80674,0.64547,0.77986,0.55699,1.1362,0.9499,1.36206,6.33337e-05,6.33337e-05,6.33337e-05
112,470.561,0.97462,1.0814,1.26543,0.75398,0.67489,0.7947,0.56914,1.1053,0.93606,1.32063,6.30004e-05,6.30004e-05,6.30004e-05
113,474.695,0.97275,1.07054,1.2598,0.83444,0.61754,0.7848,0.5776,1.04716,0.94323,1.27814,6.2667e-05,6.2667e-05,6.2667e-05
114,478.712,0.97627,1.04636,1.25233,0.81656,0.64191,0.78319,0.5761,1.0768,0.89426,1.30734,6.23337e-05,6.23337e-05,6.23337e-05
115,482.732,0.95199,1.03598,1.24372,0.88749,0.6099,0.78766,0.57489,1.08756,0.93406,1.31902,6.20004e-05,6.20004e-05,6.20004e-05
116,486.822,0.94866,1.01973,1.23615,0.81727,0.66064,0.78468,0.55641,1.13374,0.95433,1.33999,6.16671e-05,6.16671e-05,6.16671e-05
117,490.897,0.96557,1.03644,1.24803,0.81965,0.62763,0.78269,0.5783,1.06098,0.96959,1.29569,6.13337e-05,6.13337e-05,6.13337e-05
118,494.929,0.94832,1.00554,1.23166,0.79807,0.62578,0.78361,0.56565,1.09701,0.98485,1.30857,6.10004e-05,6.10004e-05,6.10004e-05
119,499.033,0.95677,1.03198,1.25434,0.85348,0.62445,0.7874,0.54835,1.14609,0.94415,1.3507,6.06671e-05,6.06671e-05,6.06671e-05
120,503.078,0.98196,1.05209,1.25721,0.846,0.66021,0.7976,0.58822,1.03223,0.90077,1.27059,6.03337e-05,6.03337e-05,6.03337e-05
121,507.113,0.94921,1.01652,1.25266,0.83328,0.63872,0.78903,0.55172,1.13563,0.95876,1.36178,6.00004e-05,6.00004e-05,6.00004e-05
122,511.162,0.94073,1.00704,1.2421,0.75077,0.6562,0.76949,0.56002,1.11259,0.97415,1.36435,5.96671e-05,5.96671e-05,5.96671e-05
123,515.142,0.94971,1.01609,1.24562,0.82834,0.64992,0.79375,0.5714,1.12058,0.93095,1.3424,5.93337e-05,5.93337e-05,5.93337e-05
124,519.187,0.95638,1.01674,1.24673,0.68086,0.7485,0.79243,0.56711,1.128,0.91781,1.39745,5.90004e-05,5.90004e-05,5.90004e-05
125,523.169,0.94489,1.0091,1.24479,0.73999,0.69251,0.78619,0.57151,1.1095,0.9193,1.35621,5.86671e-05,5.86671e-05,5.86671e-05
126,527.176,0.98868,1.0089,1.27459,0.84103,0.60113,0.78726,0.55451,1.16447,0.9458,1.41379,5.83337e-05,5.83337e-05,5.83337e-05
127,531.143,0.96286,1.0179,1.24425,0.7998,0.63368,0.78322,0.56518,1.13315,0.93527,1.36438,5.80004e-05,5.80004e-05,5.80004e-05
128,535.142,0.93263,0.99289,1.22893,0.83065,0.63238,0.78815,0.57167,1.07883,0.89418,1.30352,5.76671e-05,5.76671e-05,5.76671e-05
129,539.132,0.92486,0.96362,1.22433,0.74307,0.68122,0.78174,0.57006,1.09653,0.91855,1.31162,5.73338e-05,5.73338e-05,5.73338e-05
130,543.182,0.94737,1.00489,1.23411,0.84292,0.62656,0.78932,0.55894,1.10838,0.92977,1.32668,5.70004e-05,5.70004e-05,5.70004e-05
131,547.167,0.93083,0.97383,1.23055,0.727,0.73839,0.79398,0.57863,1.05807,0.90948,1.28309,5.66671e-05,5.66671e-05,5.66671e-05
132,551.166,0.90881,0.95646,1.23121,0.84713,0.64394,0.8062,0.58036,1.09491,0.90885,1.29668,5.63338e-05,5.63338e-05,5.63338e-05
133,555.149,0.91042,0.97662,1.21425,0.8443,0.64866,0.80337,0.58048,1.06689,0.90815,1.29622,5.60004e-05,5.60004e-05,5.60004e-05
134,559.112,0.92463,0.9742,1.23872,0.8978,0.58246,0.78816,0.57434,1.06727,0.95194,1.2954,5.56671e-05,5.56671e-05,5.56671e-05
135,563.102,0.96436,0.99821,1.24453,0.6846,0.73746,0.79608,0.58012,1.07111,0.88179,1.29725,5.53338e-05,5.53338e-05,5.53338e-05
136,567.093,0.96113,1.00997,1.25297,0.72383,0.69598,0.80148,0.56879,1.10787,0.91161,1.34016,5.50005e-05,5.50005e-05,5.50005e-05
137,570.952,0.94586,0.98877,1.23316,0.77968,0.66024,0.79337,0.57325,1.08309,0.93932,1.32063,5.46671e-05,5.46671e-05,5.46671e-05
138,574.863,0.92505,0.98245,1.22807,0.84646,0.59989,0.78654,0.5626,1.12456,0.9423,1.34339,5.43338e-05,5.43338e-05,5.43338e-05
139,578.969,0.89668,0.93521,1.21167,0.68565,0.74811,0.80353,0.5933,1.0353,0.89012,1.27511,5.40005e-05,5.40005e-05,5.40005e-05
140,583.257,0.9349,0.97418,1.22927,0.83818,0.62045,0.78252,0.56351,1.1144,0.91316,1.34196,5.36671e-05,5.36671e-05,5.36671e-05
141,587.31,0.91413,0.96726,1.21291,0.84071,0.63941,0.80136,0.58609,1.08438,0.92409,1.30051,5.33338e-05,5.33338e-05,5.33338e-05
142,591.43,0.8873,0.89458,1.19153,0.84841,0.64544,0.7974,0.58458,1.06968,0.89612,1.29759,5.30005e-05,5.30005e-05,5.30005e-05
143,595.405,0.92477,0.93117,1.21091,0.83479,0.64667,0.79535,0.57955,1.09386,0.90997,1.3141,5.26671e-05,5.26671e-05,5.26671e-05
144,599.556,0.9205,0.95972,1.21969,0.73588,0.68934,0.79276,0.57364,1.09132,0.91455,1.32914,5.23338e-05,5.23338e-05,5.23338e-05
145,603.703,0.89452,0.91764,1.2019,0.79513,0.67244,0.80062,0.56538,1.14036,0.93702,1.35999,5.20005e-05,5.20005e-05,5.20005e-05
146,607.739,0.90885,0.94205,1.21384,0.8258,0.59734,0.75997,0.54738,1.15655,1.00505,1.40032,5.16671e-05,5.16671e-05,5.16671e-05
147,611.786,0.88596,0.9248,1.19651,0.89191,0.58759,0.77406,0.57061,1.08132,0.94303,1.34212,5.13338e-05,5.13338e-05,5.13338e-05
148,615.917,0.92293,0.9435,1.22698,0.8915,0.57708,0.78275,0.57826,1.09553,0.92576,1.31872,5.10005e-05,5.10005e-05,5.10005e-05
149,619.882,0.89936,0.92818,1.20586,0.74425,0.6848,0.78675,0.56689,1.09385,0.94695,1.32618,5.06672e-05,5.06672e-05,5.06672e-05
150,623.867,0.91561,0.93854,1.21173,0.82714,0.60751,0.7767,0.57375,1.05987,0.9354,1.3216,5.03338e-05,5.03338e-05,5.03338e-05
151,627.848,0.88548,0.90867,1.20449,0.84256,0.58654,0.76496,0.50488,1.28879,1.02674,1.54927,5.00005e-05,5.00005e-05,5.00005e-05
152,631.782,0.91509,0.95125,1.22092,0.87675,0.58828,0.76883,0.55565,1.12606,0.97971,1.36038,4.96672e-05,4.96672e-05,4.96672e-05
153,635.797,0.89641,0.93523,1.20657,0.84807,0.58648,0.76279,0.54263,1.13869,1.01673,1.37945,4.93338e-05,4.93338e-05,4.93338e-05
154,639.772,0.88275,0.91137,1.19708,0.85205,0.59709,0.75917,0.55683,1.07458,1.01998,1.30417,4.90005e-05,4.90005e-05,4.90005e-05
155,643.692,0.88023,0.90274,1.19251,0.90021,0.59383,0.7783,0.55056,1.11658,0.97472,1.32705,4.86672e-05,4.86672e-05,4.86672e-05
156,647.642,0.89018,0.91185,1.19695,0.86924,0.60105,0.78311,0.59453,1.02173,0.91952,1.27208,4.83339e-05,4.83339e-05,4.83339e-05
157,651.624,0.89124,0.91172,1.21005,0.70719,0.7426,0.80341,0.58398,1.07877,0.88356,1.29631,4.80005e-05,4.80005e-05,4.80005e-05
158,655.602,0.90821,0.91769,1.21155,0.89581,0.6044,0.79915,0.59361,1.04089,0.87209,1.28973,4.76672e-05,4.76672e-05,4.76672e-05
159,659.609,0.87921,0.8779,1.19875,0.87921,0.60292,0.79329,0.59305,1.04205,0.89444,1.29217,4.73339e-05,4.73339e-05,4.73339e-05
160,663.562,0.89099,0.90753,1.20708,0.85427,0.6125,0.79238,0.5695,1.12003,0.9304,1.35474,4.70005e-05,4.70005e-05,4.70005e-05
161,667.5,0.88524,0.90394,1.19563,0.68177,0.75715,0.78606,0.58835,1.04229,0.88955,1.28436,4.66672e-05,4.66672e-05,4.66672e-05
162,671.445,0.86947,0.8866,1.18726,0.73899,0.68585,0.79344,0.56885,1.14398,0.91903,1.37356,4.63339e-05,4.63339e-05,4.63339e-05
163,675.393,0.8816,0.88594,1.19144,0.77013,0.64801,0.79063,0.58593,1.06338,0.92051,1.29912,4.60005e-05,4.60005e-05,4.60005e-05
164,679.422,0.87561,0.89452,1.18073,0.71083,0.72672,0.78175,0.5747,1.10109,0.93518,1.3233,4.56672e-05,4.56672e-05,4.56672e-05
165,683.366,0.89539,0.88138,1.20578,0.82455,0.62122,0.76867,0.57155,1.09465,0.95134,1.34298,4.53339e-05,4.53339e-05,4.53339e-05
166,687.309,0.87032,0.90499,1.18913,0.70048,0.70906,0.79162,0.59064,1.05566,0.94202,1.27005,4.50006e-05,4.50006e-05,4.50006e-05
167,691.252,0.87841,0.88422,1.19735,0.71516,0.70033,0.78978,0.59994,1.02899,0.9276,1.25716,4.46672e-05,4.46672e-05,4.46672e-05
168,695.192,0.86868,0.86396,1.18019,0.82406,0.62071,0.76767,0.56745,1.08727,0.9535,1.31013,4.43339e-05,4.43339e-05,4.43339e-05
169,699.124,0.87792,0.90252,1.19871,0.69121,0.73117,0.78587,0.59384,1.02015,0.92669,1.26432,4.40006e-05,4.40006e-05,4.40006e-05
